#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
AOPY01001400.1       -          bacteria16S_508_mod5 -                  0 1541.1  24.0         0 1540.6  16.6   1.1   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq1400, whole genome shotgun sequence.
AOPY01000815.1       -          bacteria16S_508_mod5 -            1.4e-80  268.6   0.1   1.6e-80  268.4   0.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq815, whole genome shotgun sequence.
AOPY01000986.1       -          bacteria16S_508_mod5 -            2.2e-79  264.6   0.4   2.6e-79  264.4   0.3   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq986, whole genome shotgun sequence.
AOPY01000877.1       -          bacteria16S_508_mod5 -              2e-78  261.5   0.1   2.2e-78  261.3   0.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq877, whole genome shotgun sequence.
AOPY01000843.1       -          bacteria16S_508_mod5 -            1.1e-77  259.0   1.0   1.2e-77  258.8   0.7   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq843, whole genome shotgun sequence.
AOPY01000811.1       -          bacteria16S_508_mod5 -            2.1e-77  258.1   0.1   2.3e-77  257.9   0.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq811, whole genome shotgun sequence.
AOPY01000725.1       -          bacteria16S_508_mod5 -              8e-77  256.1   2.0   8.9e-77  256.0   1.4   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq725, whole genome shotgun sequence.
AOPY01000791.1       -          bacteria16S_508_mod5 -            6.5e-74  246.5   0.3   7.2e-74  246.3   0.2   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq791, whole genome shotgun sequence.
AOPY01000666.1       -          bacteria16S_508_mod5 -            1.7e-71  238.4   0.0   1.9e-71  238.3   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq666, whole genome shotgun sequence.
AOPY01000723.1       -          bacteria16S_508_mod5 -            2.4e-67  224.7   0.6   2.6e-67  224.6   0.4   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq723, whole genome shotgun sequence.
AOPY01001240.1       -          bacteria16S_508_mod5 -              5e-62  207.1   0.1   8.8e-62  206.3   0.1   1.4   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq1240, whole genome shotgun sequence.
AOPY01000710.1       -          bacteria16S_508_mod5 -            4.3e-53  177.5   0.0   5.1e-53  177.2   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq710, whole genome shotgun sequence.
AOPY01000655.1       -          bacteria16S_508_mod5 -            3.2e-49  164.6   0.1   4.1e-49  164.3   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq655, whole genome shotgun sequence.
AOPY01000816.1       -          bacteria16S_508_mod5 -              5e-48  160.7   0.0   5.9e-48  160.5   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq816, whole genome shotgun sequence.
AOPY01000784.1       -          bacteria16S_508_mod5 -            5.9e-48  160.4   0.1   6.6e-48  160.3   0.1   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq784, whole genome shotgun sequence.
AOPY01000857.1       -          bacteria16S_508_mod5 -            6.2e-43  143.8   0.1   7.9e-43  143.5   0.0   1.1   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq857, whole genome shotgun sequence.
AOPY01000721.1       -          bacteria16S_508_mod5 -            2.3e-37  125.4   0.1   2.8e-37  125.1   0.1   1.1   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq721, whole genome shotgun sequence.
AOPY01000854.1       -          bacteria16S_508_mod5 -            1.5e-33  112.7   0.0     2e-33  112.3   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq854, whole genome shotgun sequence.
AOPY01000881.1       -          bacteria16S_508_mod5 -            9.8e-33  110.0   0.0   1.2e-32  109.7   0.0   1.0   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq881, whole genome shotgun sequence.
AOPY01000894.1       -          bacteria16S_508_mod5 -            1.2e-32  109.7   0.1   1.7e-32  109.2   0.0   1.2   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq894, whole genome shotgun sequence.
AOPY01000648.1       -          bacteria16S_508_mod5 -            2.4e-32  108.7   0.1     3e-32  108.4   0.0   1.1   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq648, whole genome shotgun sequence.
AOPY01000464.1       -          bacteria16S_508_mod5 -            2.8e-14   48.8   0.0     4e-14   48.3   0.0   1.2   1   0   0   1   1   1   1 Streptomyces afghaniensis 772 Seq464, whole genome shotgun sequence.
